,0
2151,0
2152,1
2153,2
2154,0
2155,3
2156,0
2157,1
2158,3
2159,0
2160,2
2161,0
2162,0
2163,0
2164,1
2165,2
2166,2
2167,1
2168,2
2169,3
2170,2
2171,1
2172,0
2173,0
2174,0
2175,5
2176,4
2177,0
2178,2
2179,2
2180,4
2181,0
2182,0
2183,1
2184,0
2185,0
2186,0
2187,2
2188,2
2189,0
2190,1
2191,0
2192,0
2193,0
2194,0
2195,1
2196,1
2197,0
2198,1
2199,0
2200,4
2201,1
2202,2
2203,3
2204,2
2205,0
2206,0
2207,2
2208,4
2209,2
2210,1
2211,1
2212,0
2213,1
2214,0
2215,0
2216,0
2217,0
2218,0
2219,1
2220,1
2221,0
2222,1
2223,1
2224,0
2225,1
2226,1
2227,1
2228,0
2229,0
2230,0
2231,0
2232,2
2233,0
2234,2
2235,2
2236,0
2237,0
2238,0
2239,0
2240,1
2241,0
2242,0
2243,1
2244,2
2245,2
2246,1
2247,3
2248,0
2249,2
2250,2
2251,2
2252,5
2253,2
2254,1
2255,0
2256,1
2257,0
2258,0
2259,0
2260,3
2261,5
2262,2
2263,0
2264,0
2265,2
2266,1
2267,0
2268,1
2269,3
2270,0
2271,1
2272,0
2273,0
2274,0
2275,0
2276,0
2277,0
2278,0
2279,1
2280,1
2281,0
2282,0
2283,0
2284,0
2285,0
2286,0
2287,0
2288,0
2289,1
2290,2
2291,0
2292,1
2293,2
2294,2
2295,0
2296,0
2297,0
2298,0
2299,1
2300,1
2301,1
2302,1
2303,0
2304,2
2305,0
2306,2
2307,1
2308,0
2309,1
2310,1
2311,0
2312,0
2313,0
2314,0
2315,1
2316,0
2317,0
2318,1
2319,0
2320,0
2321,0
2322,0
2323,0
2324,0
2325,0
2326,0
2327,0
2328,0
2329,0
2330,0
2331,0
2332,1
2333,0
2334,0
2335,0
2336,0
2337,0
2338,0
2339,0
2340,0
2341,2
2342,1
2343,3
2344,3
2345,1
2346,0
2347,1
2348,0
2349,0
2350,0
2351,0
2352,1
2353,3
2354,1
2355,2
2356,0
2357,0
2358,0
2359,0
2360,0
2361,4
2362,2
2363,4
2364,0
2365,3
2366,0
2367,0
2368,0
2369,0
2370,2
2371,1
2372,1
2373,0
2374,0
2375,0
2376,1
2377,1
2378,0
2379,2
2380,0
2381,0
2382,2
2383,1
2384,2
2385,1
2386,0
2387,0
2388,0
2389,0
2390,1
2391,2
2392,3
2393,1
2394,0
2395,2
2396,0
2397,2
2398,0
2399,0
2400,2
2401,3
2402,1
2403,1
2404,1
2405,1
2406,0
2407,2
2408,0
2409,1
2410,0
2411,0
2412,2
2413,0
2414,2
2415,4
2416,2
2417,3
2418,1
2419,0
2420,0
2421,0
2422,1
2423,0
2424,0
2425,0
2426,0
2427,2
2428,2
2429,3
2430,3
2431,0
2432,0
2433,0
2434,0
2435,0
2436,0
2437,2
2438,2
2439,3
2440,1
2441,0
2442,1
2443,0
2444,0
2445,2
2446,0
2447,5
2448,2
2449,1
2450,0
2451,0
2452,0
2453,0
2454,0
2455,0
2456,0
2457,0
2458,0
2459,0
2460,1
2461,1
2462,0
2463,2
2464,1
2465,5
2466,0
2467,0
2468,0
2469,1
2470,1
2471,1
2472,0
2473,1
2474,8
2475,5
2476,1
2477,0
2478,0
2479,2
2480,0
2481,1
2482,3
2483,1
2484,1
2485,1
2486,2
2487,3
2488,1
2489,0
2490,2
2491,1
2492,0
2493,0
2494,0
2495,1
2496,1
2497,0
2498,3
2499,3
2500,2
2501,4
2502,3
2503,0
2504,0
2505,0
2506,0
2507,3
2508,3
2509,0
2510,1
2511,0
2512,0
2513,0
2514,0
2515,0
2516,0
2517,0
2518,1
2519,0
2520,0
2521,0
2522,0
2523,1
2524,1
2525,0
2526,0
2527,1
2528,3
2529,1
2530,1
2531,0
2532,0
2533,0
2534,1
2535,0
2536,0
2537,0
2538,0
2539,0
2540,0
2541,2
2542,1
2543,2
2544,0
2545,0
2546,1
2547,0
2548,0
2549,0
2550,1
2551,1
2552,0
2553,1
2554,2
2555,1
